CowID,Vertical,Lateral,Left_Quarter,Right_Quarter,Initials,Date,Study_Day
5940,49.6,14.1,22.4,19.8,JS,12/5/2024,1
5941,37.6,11.7,14.4,16.8,JS,12/1/2024,1
5942,43.4,12.5,18.1,17.6,JS,12/1/2024,1
5943,40.6,9.5,12.4,11.3,JS,12/1/2024,1
5944,51.1,13,15.4,18.8,JS,12/1/2024,1
5945,46.6,8.5,13.6,15.5,JS,12/1/2024,1
5946,42.9,9.6,16.2,14,JS,12/1/2024,1
5948,46.8,12.7,17.4,17,JS,12/1/2024,1
5955,48.1,15.6,18.6,17.4,JS,12/1/2024,1
5960,42.1,12.8,22,22.7,JS,12/1/2024,1
5971,41,9.7,13.7,13.9,JS,12/1/2024,1
5977,38.1,8.4,12.7,14.2,JS,12/1/2024,1
86245,58.3,15.6,26,22.2,JS,12/5/2024,1
5245,49,13.6,24.3,25.3,LJ,12/1/2024,1
5246,54.3,14.5,23.6,25.2,LJ,12/5/2024,1
5277,59.3,10.4,16.8,18.6,LJ,12/5/2024,1
5370,56.3,13.4,17.1,19,LJ,12/5/2024,1
5387,59.5,10,16.2,20.8,LJ,12/5/2024,1
5389,54.9,11.9,13.9,20.4,LJ,12/5/2024,1
5437,61.2,13.5,15.7,22,LJ,12/5/2024,1
5465,58.2,14.5,22.4,26.5,LJ,12/5/2024,1
5475,56.7,10.1,18.7,17.7,LJ,12/5/2024,1
5532,60.2,13.3,20.3,26.3,LJ,12/5/2024,1
5543,49.9,12.5,16,16,LJ,12/5/2024,1
5554,49.7,10.5,13.8,14,LJ,12/5/2024,1
5561,51.5,13.3,17,18,LJ,12/5/2024,1
5568,53.7,11.3,16.9,15,LJ,12/5/2024,1
5577,53.5,12.5,22,24.7,LJ,12/1/2024,1
5590,49,10.3,18.6,21.3,LJ,12/1/2024,1
5604,50.7,10.2,17.3,18.7,LJ,12/5/2024,1
5684,53.5,12.5,17.4,22.3,LJ,12/5/2024,1
5753,51.2,12.7,17.9,16,LJ,12/5/2024,1
5769,44.5,12.3,13.7,14.5,LJ,12/5/2024,1
5837,47,13.6,18.3,20.4,LJ,12/1/2024,1
5913,47.3,13,15.3,17.8,LJ,12/1/2024,1
5915,43.1,12.8,16.5,17,LJ,12/1/2024,1
5929,43.5,15.2,21.8,19.6,LJ,12/1/2024,1
5933,43.5,11.5,13,13.5,LJ,12/1/2024,1
5937,44.5,13,15.5,14.2,LJ,12/1/2024,1
5938,40.5,9.5,11,11.5,LJ,12/1/2024,1
5940,48.3,12.8,18.6,18.3,LJ,12/5/2024,1
5941,36.5,14,16,15.5,LJ,12/1/2024,1
5942,42,11.5,16,15.5,LJ,12/1/2024,1
5943,47.7,8.3,15,13.1,LJ,12/1/2024,1
5944,49.5,12.3,15.4,16.8,LJ,12/1/2024,1
5945,42.5,8.5,12.5,12,LJ,12/1/2024,1
5946,43,12.5,14.5,14,LJ,12/1/2024,1
5948,46,12,17,16.5,LJ,12/1/2024,1
5955,43.5,14.5,16.5,14.6,LJ,12/1/2024,1
5960,40.5,13,16.5,16,LJ,12/1/2024,1
5971,41.5,10,13,10.5,LJ,12/1/2024,1
5977,39.5,13,13.5,13,LJ,12/1/2024,1
86245,54.6,15.5,24,20.5,LJ,12/5/2024,1
5245,45.5,14.5,27.5,28,IB,12/2/2024,2
5246,53.7,14,23.3,22.4,IB,12/6/2024,2
5277,56.5,11.3,22.4,21.3,IB,12/6/2024,2
5370,59.2,14,17,22.2,IB,12/6/2024,2
5387,58.6,10,19.7,21.2,IB,12/6/2024,2
5389,54.7,12.8,15.8,22.9,IB,12/6/2024,2
5437,57.3,13.9,16.5,24.6,IB,12/6/2024,2
5465,56.2,16,23.3,24.2,IB,12/6/2024,2
5475,53.5,10,18.3,13.2,IB,12/6/2024,2
5532,58.7,13.4,26.5,30,IB,12/6/2024,2
5543,49.6,12.4,15.2,17.9,IB,12/6/2024,2
5554,48.2,11.2,13.5,15.2,IB,12/6/2024,2
5561,52.4,13,17.6,19,IB,12/6/2024,2
5568,55.6,16.7,18.5,16.8,IB,12/6/2024,2
5577,53,13.4,23.5,32.2,IB,12/2/2024,2
5590,46.8,12.5,17.9,25.3,IB,12/2/2024,2
5604,51,11.5,22,21.4,IB,12/6/2024,2
5684,52.5,12,18.2,21.5,IB,12/6/2024,2
5753,50.5,13.9,19.2,17.4,IB,12/6/2024,2
5769,49,12.5,15.8,14.8,IB,12/6/2024,2
5837,42.8,14.2,20.5,22.5,IB,12/2/2024,2
5913,39.7,14.8,18.7,20,IB,12/2/2024,2
5915,43,15.5,21,21.5,IB,12/2/2024,2
5929,40.2,14,20.5,17.3,IB,12/2/2024,2
5933,38.2,12.4,16.5,19,IB,12/2/2024,2
5937,37.3,12.2,13,13.5,IB,12/2/2024,2
5938,41.3,12,16,19.5,IB,12/2/2024,2
5940,49.7,14.2,18.4,20.6,IB,12/6/2024,2
5941,43.5,13,14.5,19,IB,12/2/2024,2
5942,44,14,16.2,17.5,IB,12/2/2024,2
5943,42.7,11.5,13.5,13.4,IB,12/2/2024,2
5944,42.4,13.5,20.2,18.4,IB,12/2/2024,2
5945,43.2,9.7,13.6,14.2,IB,12/2/2024,2
5946,42.5,12.9,15.5,19.5,IB,12/2/2024,2
5948,43,12.9,18.5,17.4,IB,12/2/2024,2
5955,44,13.2,16.2,17,IB,12/2/2024,2
5960,38.2,12,17.5,18.6,IB,12/2/2024,2
5971,37.9,10,13.7,16.2,IB,12/2/2024,2
5977,46.4,12,13,11,IB,12/2/2024,2
86245,56.2,16.2,25.7,24.2,IB,12/6/2024,2
5245,51.5,12.8,25.9,27.2,JS,12/2/2024,2
5246,53,15.2,24.5,24.3,JS,12/6/2024,2
5277,56.5,10.1,20.4,15.8,JS,12/6/2024,2
5370,54.8,14.4,19,21.9,JS,12/6/2024,2
5387,60.7,11.3,20.1,21.1,JS,12/6/2024,2
5389,53.2,12.2,15,19.2,JS,12/6/2024,2
5437,56.1,15,16.8,25.3,JS,12/6/2024,2
5465,53.4,15.2,24.5,23.5,JS,12/6/2024,2
5475,52.2,11,17.2,18.3,JS,12/6/2024,2
5532,59.3,13.9,25.6,26.7,JS,12/6/2024,2
5543,45.8,10.9,13.6,15.2,JS,12/6/2024,2
5554,44.4,10.8,17.3,15,JS,12/6/2024,2
5561,50.3,13.8,17.6,19.3,JS,12/6/2024,2
5568,50.9,17.3,18.3,17.1,JS,12/6/2024,2
5577,53.5,12.6,22.2,29.1,JS,12/2/2024,2
5590,46.3,11,17.7,23.6,JS,12/2/2024,2
5604,48.6,10.6,19.7,19.3,JS,12/6/2024,2
5684,52,12,20.1,25,JS,12/6/2024,2
5753,46.9,13.8,19,16.5,JS,12/6/2024,2
5769,42.5,11.5,14.4,15.1,JS,12/6/2024,2
5837,52,13,21,20.7,JS,12/2/2024,2
5913,43.3,13.8,18.5,19.4,JS,12/2/2024,2
5915,44.5,14.6,19.6,18.7,JS,12/2/2024,2
5929,46.8,12.7,19.9,17.7,JS,12/2/2024,2
5933,44.8,12.2,16.8,17.9,JS,12/2/2024,2
5937,38,12.2,14.5,17.6,JS,12/2/2024,2
5938,41,10.9,14.3,18.5,JS,12/2/2024,2
5940,46.9,14,20.7,19.2,JS,12/6/2024,2
5941,39.2,13.1,16.7,17,JS,12/2/2024,2
5942,47.6,19.3,22.5,17.8,JS,12/2/2024,2
5943,48.8,11.8,18.5,16.7,JS,12/2/2024,2
5944,51.9,14.1,17.4,16.8,JS,12/2/2024,2
5945,41.7,9.7,13.8,15.3,JS,12/2/2024,2
5946,43.1,11.7,15.9,18.3,JS,12/2/2024,2
5948,50,11.9,18.9,16,JS,12/2/2024,2
5955,46.5,15.5,20,22.4,JS,12/2/2024,2
5960,42.1,11.4,17.8,18.2,JS,12/2/2024,2
5971,38.9,9.9,15.4,14.5,JS,12/2/2024,2
5977,41.4,10.8,14.6,14.6,JS,12/2/2024,2
86245,54.3,15.4,25.8,24.1,JS,12/6/2024,2
5245,49.8,12.7,24.1,28.1,LJ,12/2/2024,2
5246,50.2,13.8,21.8,23.8,LJ,12/6/2024,2
5277,55.4,10,17.1,18.1,LJ,12/6/2024,2
5370,57.4,13.2,16.4,19.4,LJ,12/6/2024,2
5387,57.2,10.2,17.4,18.2,LJ,12/6/2024,2
5389,49.8,11.5,16.4,21.5,LJ,12/6/2024,2
5437,54.1,11,16.1,23.3,LJ,12/6/2024,2
5465,52.5,15.3,21.4,23.1,LJ,12/6/2024,2
5475,50.8,11.5,15.4,17.7,LJ,12/6/2024,2
5532,57.1,13,23.3,24.7,LJ,12/6/2024,2
5543,53.5,11.7,11.6,13.6,LJ,12/6/2024,2
5554,48.7,10.3,13.3,13.8,LJ,12/6/2024,2
5561,51.7,14.1,16.4,17.5,LJ,12/6/2024,2
5568,46.6,11.7,16.8,15.3,LJ,12/6/2024,2
5577,52.9,12.5,21.4,26,LJ,12/2/2024,2
5590,46.9,11.2,17.5,20.6,LJ,12/2/2024,2
5604,51.5,10.6,18,18.8,LJ,12/6/2024,2
5684,49,11.5,17.8,22.5,LJ,12/6/2024,2
5753,49.3,13.8,16.8,17,LJ,12/6/2024,2
5769,43.1,10.8,13.8,14.9,LJ,12/6/2024,2
5837,47.7,13.8,20,20.3,LJ,12/2/2024,2
5913,46.3,14.2,17.8,18.8,LJ,12/2/2024,2
5915,43.5,14.8,19.3,17.7,LJ,12/2/2024,2
5929,44.6,13.2,18.8,15.5,LJ,12/2/2024,2
5933,45.2,12.3,15.8,18.3,LJ,12/2/2024,2
5937,43.5,12.5,15.4,16.2,LJ,12/2/2024,2
5938,52.5,11.3,15.4,15.6,LJ,12/2/2024,2
5940,43.4,12.5,16.3,19.7,LJ,12/6/2024,2
5941,39.4,13.3,14.8,15.6,LJ,12/2/2024,2
5942,42.5,12.5,14.8,17.8,LJ,12/2/2024,2
5943,44.7,8.4,13.7,11.9,LJ,12/2/2024,2
5944,48.9,13.3,15.5,15.6,LJ,12/2/2024,2
5945,48.5,10,11.5,13.5,LJ,12/2/2024,2
5946,45.7,15.3,16.4,17.8,LJ,12/2/2024,2
5948,49.5,12.4,19.9,15.8,LJ,12/2/2024,2
5955,44.8,13.3,19,17.4,LJ,12/2/2024,2
5960,42.2,12.1,16.2,16.3,LJ,12/2/2024,2
5971,39.2,9.8,11.7,11.5,LJ,12/2/2024,2
5977,49.3,11.5,12.8,11.1,LJ,12/2/2024,2
86245,56.2,15.7,23.9,22.4,LJ,12/6/2024,2
5245,51.3,13.5,29.2,27.5,IB,12/3/2024,3
5246,53.8,14.4,24.5,23.5,IB,12/7/2024,3
5277,56.8,11.2,19.4,18.9,IB,12/7/2024,3
5370,57.6,13,18.5,21.5,IB,12/7/2024,3
5387,58.6,9.7,18.3,22.2,IB,12/7/2024,3
5389,56,11.8,16.7,24.5,IB,12/7/2024,3
5437,55.4,12,15.6,28.2,IB,12/7/2024,3
5465,56.2,15.2,22,23.5,IB,12/7/2024,3
5475,53.5,9.2,12.2,16.9,IB,12/7/2024,3
5532,58.6,12.3,26.3,30.2,IB,12/7/2024,3
5543,51.6,12.4,16.5,17.2,IB,12/7/2024,3
5554,51.4,8.9,14.8,15.2,IB,12/7/2024,3
5561,52.3,13.5,18.2,17.2,IB,12/7/2024,3
5568,53.6,12.2,19.5,17.4,IB,12/7/2024,3
5577,52.8,12.8,21.5,23.5,IB,12/3/2024,3
5590,46,12.5,17.5,22,IB,12/3/2024,3
5604,49.8,10.3,20.7,19.2,IB,12/7/2024,3
5684,52.2,13.4,19,23.2,IB,12/7/2024,3
5753,53,13.3,17.6,16.6,IB,12/7/2024,3
5769,44.6,11.4,13.9,14.7,IB,12/7/2024,3
5837,44.9,14,20.4,22.5,IB,12/3/2024,3
5913,40.4,13.5,16,18.2,IB,12/3/2024,3
5915,46.5,16.4,22.5,21.6,IB,12/3/2024,3
5929,42,13,18.6,16.9,IB,12/3/2024,3
5933,39.2,12,14.5,17,IB,12/3/2024,3
5937,39,14,12.5,12.9,IB,12/3/2024,3
5938,45,11.7,16.5,18,IB,12/3/2024,3
5940,49,12.4,18.3,18.5,IB,12/7/2024,3
5941,41.4,12.8,15.6,14.5,IB,12/3/2024,3
5942,43.2,12.6,18.5,16.3,IB,12/3/2024,3
5943,43.2,9.2,12,8.9,IB,12/3/2024,3
5944,46.5,11.7,14.5,16.5,IB,12/3/2024,3
5945,42,9.8,14.2,13.8,IB,12/3/2024,3
5946,47.3,12.2,17,15.6,IB,12/3/2024,3
5948,46,12.8,17,16.3,IB,12/3/2024,3
5955,44,15,15.4,15.4,IB,12/3/2024,3
5960,44.2,12.9,22.7,20.5,IB,12/3/2024,3
5971,38.2,11.5,14.5,16.2,IB,12/3/2024,3
5977,44.7,12.2,15.5,14,IB,12/3/2024,3
86245,54.5,14.6,20.4,21.2,IB,12/7/2024,3
5245,53.7,12.9,24.9,28.8,JS,12/3/2014,3
5246,51.3,16.1,26.1,23.8,JS,12/7/2024,3
5277,56.3,11,19.8,21.1,JS,12/7/2024,3
5370,52.8,14.1,18.1,20.8,JS,12/7/2024,3
5387,61.1,11.1,19.8,23.6,JS,12/7/2024,3
5389,56.3,12.8,16.9,25.6,JS,12/7/2024,3
5437,57.5,14.6,17,25.6,JS,12/7/2024,3
5465,53.3,15.8,25.4,25,JS,12/7/2024,3
5475,53.4,11,15.3,17.5,JS,12/7/2024,3
5532,55.5,16,22.6,22.9,JS,12/7/2024,3
5543,46,12.6,14.5,13.6,JS,12/7/2024,3
5554,43.6,9.9,14,14.1,JS,12/7/2024,3
5561,49.8,13.6,18.3,20,JS,12/7/2024,3
5568,50.5,14.4,22.1,16.5,JS,12/7/2024,3
5577,50.4,11.6,22.2,25.6,JS,12/3/2014,3
5590,49.6,11.6,20.1,23.6,JS,12/3/2014,3
5604,46.9,9.6,18.4,17.3,JS,12/7/2024,3
5684,50.7,13.2,20.1,23.4,JS,12/7/2024,3
5753,51.2,15.2,18.6,18.5,JS,12/7/2024,3
5769,44.7,12,15.2,16.2,JS,12/7/2024,3
5837,51.1,14.3,20.8,25.5,JS,12/3/2014,3
5913,44.5,14.3,18.5,18.5,JS,12/3/2014,3
5915,44.2,16.3,20.7,22.8,JS,12/3/2014,3
5929,45,11.7,18.5,16.7,JS,12/3/2014,3
5933,45,10.7,17.1,20.3,JS,12/3/2014,3
5937,41.2,12,13.3,15.7,JS,12/3/2014,3
5938,41.4,10.7,17.9,16.9,JS,12/3/2014,3
5940,47.2,13.3,19.6,19.3,JS,12/7/2024,3
5941,40.8,12.1,16.2,15.1,JS,12/3/2014,3
5942,43.6,11,21,20.7,JS,12/3/2014,3
5943,42.9,7.1,13.6,11.2,JS,12/3/2014,3
5944,45.6,9.3,15,17.2,JS,12/3/2014,3
5945,48.4,9.2,14.1,15.6,JS,12/3/2014,3
5946,43,12.2,16.5,15.2,JS,12/3/2014,3
5948,46.9,11.5,16.3,17.5,JS,12/3/2014,3
5955,43.3,13.7,15.7,17,JS,12/3/2014,3
5960,41.4,12.2,19.9,19.1,JS,12/3/2014,3
5971,38.7,10.1,15.4,15.6,JS,12/3/2014,3
5977,44.6,10.7,15.2,14.1,JS,12/3/2014,3
86245,54.5,15.5,28.4,23.5,JS,12/7/2024,3
5245,49.9,11.7,24.4,27.5,LJ,12/3/2024,3
5246,51.8,14.2,25.8,22.4,LJ,12/7/2024,3
5277,53.4,11.3,23.2,20.1,LJ,12/7/2024,3
5370,54.5,13.2,13.3,19.7,LJ,12/7/2024,3
5387,55.5,9.4,17.6,19.4,LJ,12/7/2024,3
5389,51.5,10.6,14.8,21.4,LJ,12/7/2024,3
5437,51.4,11.3,15.3,26.2,LJ,12/7/2024,3
5465,55.1,15.5,23.3,24.4,LJ,12/7/2024,3
5475,47.7,9.4,13.2,16.2,LJ,12/7/2024,3
5532,55.8,13.2,22.7,24.7,LJ,12/7/2024,3
5543,46.5,10.8,13.8,12.3,LJ,12/7/2024,3
5554,46.6,9.8,13.7,13.8,LJ,12/7/2024,3
5561,48.4,13,17.3,17,LJ,12/7/2024,3
5568,52.7,11.9,18.9,15.8,LJ,12/7/2024,3
5577,51.7,11.8,19.2,22.5,LJ,12/3/2024,3
5590,47.7,10.7,17.8,20.3,LJ,12/3/2024,3
5604,47.4,9.2,15.8,17.7,LJ,12/7/2024,3
5684,45.7,13.6,12.8,23.7,LJ,12/7/2024,3
5753,49.8,13.7,16.6,17.3,LJ,12/7/2024,3
5769,43.4,11.9,13.9,15.4,LJ,12/7/2024,3
5837,49.7,14.1,21.6,20.7,LJ,12/3/2024,3
5913,59.2,13.2,19.7,17.6,LJ,12/3/2024,3
5915,45.4,16.4,19.9,20.7,LJ,12/3/2024,3
5929,45.8,12.4,18.3,14.8,LJ,12/3/2024,3
5933,48.8,11.2,14.3,16.3,LJ,12/3/2024,3
5937,43.4,13.3,15.5,12.6,LJ,12/3/2024,3
5938,46.7,11.3,15.3,19.3,LJ,12/3/2024,3
5940,45.7,12.2,16.8,18.8,LJ,12/7/2024,3
5941,39.9,12.2,15,14.3,LJ,12/3/2024,3
5942,43.2,11.5,16.2,16.1,LJ,12/3/2024,3
5943,43.1,9,12.2,11.7,LJ,12/3/2024,3
5944,50.4,11.2,16.6,16.8,LJ,12/3/2024,3
5945,47.3,8.8,13.7,13.4,LJ,12/3/2024,3
5946,45.1,12.3,16,13.2,LJ,12/3/2024,3
5948,47.4,11.3,16.7,16.7,LJ,12/3/2024,3
5955,45.7,13.3,18.2,15.3,LJ,12/3/2024,3
5960,41.9,12.9,17.2,18.3,LJ,12/3/2024,3
5971,42.7,10.4,14.1,15.4,LJ,12/3/2024,3
5977,46.7,11.2,14.2,15.6,LJ,12/3/2024,3
86245,52.4,14.9,24.5,20.6,LJ,12/7/2024,3
